MovieId	MovieTitle	Year	MoviePlot	Synopsis	MoviePlotSummary
3175826	suburbia	1996	set in the suburban neighbourhood of burnfield in austin, texas, five young adults are in the daily habit of hanging out by a garbage dumpster on the corner of a local convenience store, occasionally taunting the foreign clerk who works there. the films main character, jeff, is an aimless soul unsure of his future. jeff is dating sooze, who has expressed the desire to leave burnfield and become an artist. jeffs best friends are buff, and tim, a troubled young honorably discharged military man who drinks too much and has a knack for shooting his mouth off. soozes friend bee bee is a recovering alcoholic who is invited to join the group. one evening, an old friend of theirs, pony, now a rock star, shows up looking to reconnect with them. most of the group is glad to see him, although some of them are bitter and jealous of his recent success. through actions and conversations they all contemplate what they want to do with the rest of their lives in this generation x release.	a group of suburban teenagers try to support each other through the difficult task of becoming adults	soozes friend bee bee is a recovering alcoholic who is invited to join the group.
20556389	mr. st. nick	2002	king nicholas xx has been santa claus for 100 years and is now preparing to hand over the baton to his, and the queens son, nick st. nicholas. nick st. nicholas is living the high life in miami and is slightly reluctant to become santa claus. jasper, nicks butler hires a new cook, lorena. he then gets enticed into portraying a fictitious santa claus for a charity by heidi and hector. nick begins to fall in love with heidi and asks her to marry him, little does he know that hector and heidi are transferring the charitys money into their own account in the cayman islands.	king nicholas xx is ready to retire and pass the throne to his son, nick st nicholas but nick is a no show, preferring his lavish seaside lifestyle and his sexy girlfriend only a miracle can save christmas	king nicholas xx has been santa claus for 100 years and is now preparing to hand over the baton to his, and the queens son, nick st.
8094205	here come the co-eds	1945	oliver, molly, and her brother slats work for the miramar ballroom as taxi dancers. slats plants a phony article in the local newspaper that declares mollys ambition is to attend bixby college. the dean of bixby donald cook reads the article and offers her a scholarship. she agrees, but only if oliver and slats can accompany her. they are hired as caretakers. meanwhile, chairman kirkland, whose daughter diane also attends bixby, holds the mortgage on the college and threatens to foreclose if the dean continues to ignore tradition and does not expel molly. slats and oliver run into some problems of their own as they fail at every task assigned to them by their supervisor, mr. johnson. slats devise a plan to raise 20,000 to save the school oliver will wrestle the masked marvel. however, just before the match, the masked marvel becomes ill and is replaced by mr. johnson. oliver still manages to win the match, and slats takes the 1,000 winnings and bets it on bixby in a basketball game at 20 to 1 odds. unfortunately the bookie attempts to insure the outcome by hiring a professional team to play in place of bixbys opponent, carleton. oliver dresses in drag and joins the bixby team. halfway through the game he receives a bump on the head and is convinced he is daisy dimple, the worlds greatest woman basketball player. bixby pulls into the lead, but oliver suffers another bump on the head and returns to his usual persona, and ends up losing the game for bixby. to make up for it, he steals the bookies money and after a crosstown chase, the boys arrive in time to pay the mortgage and save the school.	two bumblers become caretakers at an all girls college during their misadventures, the duo raise money to free the school from its traditionally minded landlord	slats plants a phony article in the local newspaper that declares mollys ambition is to attend bixby college. slats devise a plan to raise 20,000 to save the school oliver will wrestle the masked marvel. oliver still manages to win the match, and slats takes the 1,000 winnings and bets it on bixby in a basketball game at 20 to 1 odds.
213246	alien: resurrection	1997	two hundred years after the events of alien 3, military scientists on the outer space vessel usm auriga create a clone of ellen ripley, using dna from blood samples taken before her death. they extract the embryo of an alien queen that had been growing inside her at the time of her death, raise it, and collect its eggs for further use. the ripley clone is kept alive for further study. as a result of her dna being mixed with the aliens during the cloning process, she develops enhanced strength and reflexes, acidic blood, and an empathic link with the aliens. a group of mercenaries arrive in their ship, the betty, delivering several kidnapped humans in stasis. the military scientists use the kidnapped humans as hosts for the aliens, raising several adult aliens for study. the betty crew soon encounter ripley. call recognizes her name and tries to kill her, believing she may be used to create more aliens. call is too late the aliens have already matured and quickly escape confinement, damaging the auriga and killing most of its crew. military scientist dr. wren reveals that the ships default command in an emergency is to return to earth. realizing this will unleash the aliens on earth, ripley, the mercenaries, wren, a marine named distefano, and surviving alien host purvis decide to head for the betty and use it to destroy the auriga. as the group make their way through the damaged ship, several of them are killed by aliens. call is revealed to be an android after wren betrays the group. using her ability to interface with the aurigas systems, she sets it on a collision course with earth, hoping to destroy the aliens in the crash. wren takes call hostage, demanding she abort the collision. purvis holds wrens head to his chest just as the alien embryo he is carrying bursts through his ribcage, causing it to go through wrens head and kill him. ripley discovers that the alien queen has gained a human ability from her dna as well now possessing a womb, it can give birth to live offspring without the need for eggs and human hosts. the resulting newborn, bearing a mixture of human and alien traits, recognizes ripley as its mother and kills the alien queen and dr. gediman. ripley and the surviving mercenaries make their way to the betty. as they launch, the newborn hybrid attacks call and kills distefano. ripley kills it by using her own acidic blood to burn a hole through a viewpane, causing the creature to be sucked violently through the hole and into the vacuum of space. the survivors escape in the betty as the auriga collides into earth.	200 years after her death, ellen ripley is revived as a powerful humanalien hybrid clone along with a crew of space pirates, she must again battle the deadly aliens and stop them from reaching earth	two hundred years after the events of alien 3, military scientists on the outer space vessel usm auriga create a clone of ellen ripley, using dna from blood samples taken before her death. the military scientists use the kidnapped humans as hosts for the aliens, raising several adult aliens for study. realizing this will unleash the aliens on earth, ripley, the mercenaries, wren, a marine named distefano, and surviving alien host purvis decide to head for the betty and use it to destroy the auriga. the resulting newborn, bearing a mixture of human and alien traits, recognizes ripley as its mother and kills the alien queen and dr.
9835	escape from new york	1981	in a dystopian 1988, crime in the united states has increased 400, so the island of manhattan has been converted into a giant maximum security prison. a 50 foot containment wall surrounds the island, and mines have been placed on all the bridges and tunnels to the island. the surrounding waters are patrolled and no civilians, even prison guards, are allowed to step foot on the island. nine years later, while traveling to a three way summit between the united states, the soviet union, and china, air force one is hijacked by a terrorist disguised as a stewardess. the plane crashes into manhattan, but the president makes it to an escape pod and survives. the inmates take him hostage and order all recovery forces to leave manhattan immediately or they will kill him. police commissioner bob hauk offers a deal to special forces soldier turned criminal snake plissken if he rescues the president and retrieves a secret cassette tape within 24 hours, hauk will give him a full pardon. when plissken reluctantly agrees to attempt the rescue, hauk has him injected with microscopic explosives that will rupture his carotid arteries in 24 hours. the explosives can only be defused in the last 15 minutes before they detonate, ensuring that snake does not abandon his mission. if he returns with the president and the tape in time for the summit, hauk will save him. snake lands atop the world trade center in a stealth glider, and locates the plane wreckage and escape pod. he tracks the presidents life monitor bracelet signal to a theater, only to find it on the wrist of an old man. he meets an inmate nicknamed cabbie, who takes snake to see harold brain hellman, who has made the new york public library his personal fortress. brain, who knows snake, tells him that the self proclaimed duke of new york, has the president and plans to lead a mass escape across the mined and heavily guarded 69th street bridge, using the president as a human shield. snake forces brain and his girlfriend maggie to lead him to the dukes compound at grand central station. snake finds the president in a railroad car, but he is captured by the dukes men. while snake is forced to fight with a prisoner named slag, brain and maggie trick the dukes right hand man romero into letting them see the president. once inside, they kill romero and the guards, free the president, and flee. when the duke learns this, he is furious and rounds up his gang to chase them down. in the confusion, snake slips away and manages to catch up with brain, maggie and the president. after a group of crazies cuts the ropes on snakes glider and push it off the top of the world trade center, the group heads back down and encounters cabbie, who offers to take them across the bridge in his cab. when cabbie reveals that he has the secret tape, the president demands it, but snake takes it. with the duke chasing in another car, snake and the others drive over the mine strewn bridge. the cab is destroyed by a land mine and cabbie is killed. as they flee on foot, brain is killed by a mine and maggie refuses to leave him, taking snakes gun and firing several shots at the dukes approaching car before he runs her over. snake and the president reach the wall, and the guards raise the president on a rope. the duke kills the guards and attacks snake, but the president shoots the duke dead. snake is lifted to safety, and the explosives are deactivated with seconds to spare. as the president prepares for a televised speech, he thanks snake for saving him. snake asks him how he feels about the people who died saving his life, but the president only offers half hearted regret, to snakes disgust. hauk tries to offer snake a job, but he refuses and walks away. the presidents speech commences and he offers the content of the cassette to the summit but to the presidents embarrassment, the tape has been switched for a cassette of the swing song bandstand boogie, cabbies favorite song. snake receives his pardon and leaves the prison, tearing apart the real tape.	in 1997, when the us president crashes into manhattan, now a giant maximum security prison, a convicted bank robber is sent in to rescue him	police commissioner bob hauk offers a deal to special forces soldier turned criminal snake plissken if he rescues the president and retrieves a secret cassette tape within 24 hours, hauk will give him a full pardon. brain, who knows snake, tells him that the self proclaimed duke of new york, has the president and plans to lead a mass escape across the mined and heavily guarded 69th street bridge, using the president as a human shield. while snake is forced to fight with a prisoner named slag, brain and maggie trick the dukes right hand man romero into letting them see the president. after a group of crazies cuts the ropes on snakes glider and push it off the top of the world trade center, the group heads back down and encounters cabbie, who offers to take them across the bridge in his cab. when cabbie reveals that he has the secret tape, the president demands it, but snake takes it. as they flee on foot, brain is killed by a mine and maggie refuses to leave him, taking snakes gun and firing several shots at the dukes approaching car before he runs her over.
6701433	iyarkai	2003	iyarkai is a familiar love triangle that plays out in unfamiliar surroundings. it revolves around a girl and the two men who love her but by placing the happenings in a port town of rameswaram, the director manages to give the proceedings a fresh feeling. marudhu, an orphan and sailor, lands in rameswaram and decides to give up his sailing life and settle down there. he develops a liking for nancy, who sells fruits and other items to sailors on ships that have arrived at the port. but nancy still holds a candle for the captain of a ship that docked there three years ago. the captain had promised her that he would return in a year but three years later, nancy has still not given up hope. she is in a dilemma whether to choose the captain or marudhu and finally selects the former leaving mixed feelings of joy and sorrow. director s.p.jananathan story dialogue screenplay s.p.jananathan cinematography n.k. ekambaram music vidyasagar producera.e.gunasekaran	a young girl from a port town is waiting for a sailor, and wooed by another	it revolves around a girl and the two men who love her but by placing the happenings in a port town of rameswaram, the director manages to give the proceedings a fresh feeling.
34943279	au nom du christ	1993	in this scathing satirical drama that takes place in a village of west africa, an untutored pig keeper who has been thrown out of his home falls into a river and has a vision which sends him back to his people to save them for jesus christ, introducing himself as magloire i, the cousin of christ. a little crazy, a little robber, while some think he is a charlatan and others think he is a prodigy, he reigns as an absolute master and pushes his convictions to extremes, like being crucified. this movie recalls with humour the proliferation of sects and the outrageous acts they can convey in a continent like africa, tossed about tradition, modernity and power.	a west african pig farmer has a religious vision, wherein he is told that hell be magloire the first, a prophet of christ he then sets out to rid his local villagers of superstition and instead save them for jesus	
10320053	kadhala kadhala	1998	ramalingam sundaralingam are simpletons who are always in search of ways to earn a quick buck. sundaralingam is an artist with good talent while ramalingam is the business brain who brings in money, mostly by fraudulent means. they fall in love sundaralingam with janaki rambha and ramalingam with sundari. both are students of art. janakis father, played by the music director m. s. viswanathan, rejects sundaralingam. sundari convinces janaki to write letters falsifying sundaralingams rise to fame and big money, eventually lying that janaki sundaralingam now have a son, in order to win over the parents with sentiment. janakis dad, worried that his grandson might be brought up poorly, arrives at a mansion that has been set up to look like sundaralingams new property, along with her mom. meanwhile, sundaris dad also makes an unexpected stop there to check on his daughter. a small misunderstanding during introductions and progressively bigger lies to cover the initial lies lead to a side splitting laugh riot. how those four eventually overcome their problems and find happiness forms the rest of the story.	two friends, both with the name of lingam, create a comedy of errors and consequent chaos with their girlfriends and their families	they fall in love sundaralingam with janaki rambha and ramalingam with sundari. sundari convinces janaki to write letters falsifying sundaralingams rise to fame and big money, eventually lying that janaki sundaralingam now have a son, in order to win over the parents with sentiment.
9389794	intimate stories	2002	don justo hands over the running of his grocery store to his overbearing son and daughter in law and escapes to search for his lost dog badface. roberto is a love struck obsessive compulsive traveling salesman who drives to san julin to surprise one of his clients by bringing a cake for her sons birthday. finally, mara flores travels to san julin with her daughter because she has won a spot on multicoloured casino, a fusty tv game show. the film captures a lot of small details that make a realistic and moving depiction of life in southern argentina.	three people and a baby set off on separate journeys, along the same road their disparate dreams and stories intertwine amidst the breathtaking deserted patagonic route	
197558	monsters, inc.	2001	the parallel city of monstropolis is inhabited by monsters and powered by the screams of children in the human world. at the monsters, inc. factory, employees called scarers venture into childrens bedrooms to scare them and collect their screams, using closet doors as portals. this is considered a dangerous task since the monsters believe children to be toxic and that touching them would be fatal. however, production is falling as children are becoming harder to scare and the company chairman henry j. waternoose iii is determined to find a solution. the top scarer is james p. sulley sullivan, who lives with his assistant mike wazowski and has a rivalry with the ever determined chameleon like monster randall boggs. during an ordinary days work on the scarefloor, another scarer accidentally brings a childs sock into the factory, causing the children detection agency to arrive and cleanse him. mike is harassed by roz the clerk for not completing his paperwork on time. while working late at the factory, sulley discovers that randall left an activated door on the scarefloor and a young girl who has entered the factory, much to sulleys horror. after a few failed attempts to put her back, he places her in his bag and hides when randall arrives and returns the door to storage. mike is at a restaurant on a date with his girlfriend celia when sulley comes to him for help, but chaos erupts when the girl is discovered in the restaurant, and the cda is called. sulley and mike escape the cda and take the girl home, discovering that she is not toxic after all. sulley quickly grows attached to the girl and names her boo. the next day, they smuggle her into the factory and mike attempts to return her through her door. randall tries to kidnap boo, but kidnaps mike by mistake. in the basement, randall reveals to mike he has built a torture machine to extract childrens screams, which would make the companys current tactics redundant. sulley stops randall from testing the machine on mike and reports him to waternoose. however, waternoose is revealed to be in allegiance with randall and he exiles mike and sulley to the himalayas. the two are taken in by the abominable snowman, who tells them they can return to the factory through the nearby village. sulley heads out, but mike refuses to follow him out of frustration. sulley returns to the factory and rescues boo from the scream extractor. mike returns to apologise to sulley and inadvertently helps sulley defeat randall in a fight. randall pursues mike and sulley as they race the factory and ride on the doors heading into storage, taking them into a giant vault where millions of closet doors are stored. boos laughter activates the doors and allows the chase to pass in and out of the human world. after randall almost kills sulley by pushing him out of an open door, sulley and mike trap him in the human world using a door to a trailer park, where he is mistaken for an alligator and beaten up by a pair of hillbillies. they are finally able to access boos door, but waternoose and the cda send it back to the scarefloor. mike distracts the cda, while sulley escapes with boo and her door while waternoose follows. waternoose is tricked into confessing his plan to kidnap children in the simulation bedroom and is arrested by the cda. the cdas leader is revealed to be roz, who has been undercover for years trying to prove there was a scandal at monsters inc. sulley and mike say goodbye to boo and return her home on rozs orders boos door is then destroyed. sulley becomes the new chairman of monsters inc., and thanks to his experience with boo, he comes up with a plan to end the companys energy crisis. months later, sulleys leadership has changed the companys workload. the monsters now enter childrens bedrooms to entertain them, since laughter is ten times more powerful than screams. mike takes sulley aside, revealing he has almost rebuilt boos door, requiring only one more piece which sulley took as a memento. sulley enters and reunites with boo.	in order to power the city, monsters have to scare children so that they scream however, the children are toxic to the monsters, and after a child gets through, 2 monsters realize things may not be what they think	factory, employees called scarers venture into childrens bedrooms to scare them and collect their screams, using closet doors as portals. while working late at the factory, sulley discovers that randall left an activated door on the scarefloor and a young girl who has entered the factory, much to sulleys horror. sulley and mike escape the cda and take the girl home, discovering that she is not toxic after all. in the basement, randall reveals to mike he has built a torture machine to extract childrens screams, which would make the companys current tactics redundant. sulley returns to the factory and rescues boo from the scream extractor. mike distracts the cda, while sulley escapes with boo and her door while waternoose follows. the monsters now enter childrens bedrooms to entertain them, since laughter is ten times more powerful than screams.
